moh_id	moh_area_name	district_id	district_name	n_cases_last_week	n_cases_this_week	population	n_cases_last_week_per_100k	n_cases_this_week_per_100k
LK-11-Battaramulla	Battaramulla	LK-11	Colombo	15	22	87511	17.140702311709383	25.13969672384043
LK-11-Boralesgamuwa	Boralesgamuwa	LK-11	Colombo	11	17	59240	18.568534773801485	28.696826468602296
LK-11-CMC	CMC & D2B-CMC & D3-CMC & D4-CMC	LK-11	Colombo	22	50	508408	4.327233245739642	9.834621013044641
LK-11-Dehiwala	Dehiwala	LK-11	Colombo	7	16	93815	7.4614933646005435	17.054841976229813
LK-11-Moratuwa	Egodauyana & Moratuwa	LK-11	Colombo	22	29	160199	13.732919681146575	18.102485034238665
LK-11-Kolonnawa	Gothatuwa	LK-11	Colombo	24	35	214070	11.211286027934788	16.349792124071566
LK-11-Hanwella	Hanwella	LK-11	Colombo	34	30	122128	27.839643652561247	24.56439145814228
LK-11-Homagama	Homagama	LK-11	Colombo	22	31	179146	12.280486307257766	17.30432161477231
LK-11-Kaduwela	Kaduwela	LK-11	Colombo	49	50	190407	25.734348001911695	26.259538777460914
LK-11-Kahathuduwa	Kahathuduwa	LK-11	Colombo	19	17	101625	18.69618696186962	16.728167281672818
LK-11-Piliyandala	Kesbewa & Piliyandala	LK-11	Colombo	23	29	204301	11.257898884489062	14.194742071747077
LK-11-Maharagama	Maharagama	LK-11	Colombo	51	77	155965	32.6996441509313	49.3700509729747
LK-11-Padukka	Padukka	LK-11	Colombo	8	38	73014	10.95680280494152	52.04481332347221
LK-11-Pitakotte	Pitakotte	LK-11	Colombo	14	17	61468	22.77607861000846	27.656666883581703
LK-11-Rathmalana	Rathmalana	LK-11	Colombo	4	13	88063	4.542202741219354	14.7621589089629
LK-12-Attanagalla	Aththanagalla	LK-12	Gampaha	13	11	199017	6.532105297537396	5.527166020993182
LK-12-Biyagama	Biyagama	LK-12	Gampaha	93	114	207155	44.89392001158553	55.03125678839516
LK-12-Gampaha	Gampaha	LK-12	Gampaha	14	21	201818	6.936943186435303	10.405414779652954
LK-12-Ja-Ela	Ja-Ela	LK-12	Gampaha	20	30	137864	14.507050426507282	21.760575639760923
LK-12-Katana	Katana	LK-12	Gampaha	17	14	123983	13.71155722962019	11.291870659687214
LK-12-Kelaniya	Kelaniya	LK-12	Gampaha	37	51	133755	27.662517289073303	38.12941572277672
LK-12-Mahara	Mahara	LK-12	Gampaha	34	44	226214	15.030015825722547	19.450608715640943
LK-12-Minuwangoda	Minuwangoda	LK-12	Gampaha	26	25	197883	13.139077131436252	12.633728010996396
LK-12-Dompe	Pugoda(Dompe)	LK-12	Gampaha	18	29	169223	10.636851964567464	17.13715038735869
LK-12-Ragama	Ragama	LK-12	Gampaha	10	15	82930	12.05836247437598	18.087543711563967
LK-12-Seeduwa	Seeduwa	LK-12	Gampaha	15	20	119832	12.517524534348087	16.690032712464117
LK-12-Wattala	Wattala	LK-12	Gampaha	17	25	166517	10.209167832713776	15.013482106932024
LK-13-Bandaragama	Bandaragama	LK-13	Kalutara	8	19	124133	6.4447004422675676	15.306163550385474
LK-13-Bulathsinhala	Bulathsinhala	LK-13	Kalutara	10	14	65550	15.255530129672007	21.357742181540807
LK-13-Horana	Horana	LK-13	Kalutara	24	27	133685	17.95264988592587	20.196731121666605
LK-13-Ingiriya	Ingiriya	LK-13	Kalutara	19	30	58361	32.555987731533044	51.404191155052175
LK-13-Madurawala	Madurawala	LK-13	Kalutara	4	13	92889	4.306214944718966	13.995198570336637
LK-13-Panadura	Panadura	LK-13	Kalutara	16	22	249613	6.4099225601230705	8.81364352016922
LK-21-Udapalatha	Gampola	LK-21	Kandy	6	14	109092	5.499945000549994	12.83320500128332
LK-21-Ganga-Ihala-Korale	Gangawata Korale	LK-21	Kandy	10	19	53141	18.81786191452927	35.75393763760562
LK-21-Kandy-Four-Gravets-&-Gangawata-Korale	Kandy MC	LK-21	Kandy	20	32	152397	13.123617918987907	20.99778867038065
LK-21-Pathahewaheta	Thalathuoya	LK-21	Kandy	2	10	59835	3.3425252778474137	16.71262638923707
LK-21-Udunuwara	Udunuwara	LK-21	Kandy	3	11	70803	4.237108597093344	15.536064856008926
LK-21-Pathadumbara	Waththegama	LK-21	Kandy	11	10	96889	11.353197989451846	10.32108908131986
LK-21-Harispattuwa	Werellagama	LK-21	Kandy	8	11	95757	8.354480612383428	11.487410842027215
LK-21-Yatinuwara	Yatinuwara	LK-21	Kandy	26	33	113769	22.853325598361593	29.006144028689715
LK-31-Bope-Poddala	Bope Poddala	LK-31	Galle	16	36	57890	27.638624978407325	62.18690620141648
LK-31-Elpitiya	Elpitiya	LK-31	Galle	9	10	66671	13.499122557033793	14.999025063370881
LK-31-Galle-Four-Gravets	MC Galle	LK-31	Galle	11	15	108321	10.155002261795957	13.84773035699449
LK-31-Thawalama	Thawalama	LK-31	Galle	13	15	30989	41.950369485946624	48.40427248378457
LK-32-Akuressa	Akuressa	LK-32	Matara	2	10	52624	3.8005472788081485	19.002736394040742
LK-32-Dickwella	Dickwella	LK-32	Matara	3	10	56468	5.312743500743784	17.709145002479282
LK-32-Matara-Mc	Matara MC	LK-32	Matara	33	50	76322	43.23786064306491	65.51191006524986
LK-32-Matara-Ps	Matara PS	LK-32	Matara	3	14	44719	6.708557883673607	31.306603457143492
LK-32-Weligama	Weligama	LK-32	Matara	9	21	76136	11.820951980666177	27.582221288221078
LK-32-Welipitiya	Welipitiya	LK-32	Matara	0	11	55960	0.0	19.656897784131523
LK-51-Batticaloa	Batticaloa	LK-51	Batticaloa	18	14	85114	21.148107244401626	16.44852785675682
LK-52-Addachchenai	Addalaichchenai	LK-52	Kalmunai	11	15	54874	20.045923388125523	27.335350074716622
LK-62-Wennappuwa	Wennappuwa	LK-62	Puttalam	2	15	64768	3.08794466403162	23.159584980237153
LK-81-Badulla	Badulla	LK-81	Badulla	6	11	83033	7.22604265773849	13.247744872520563
LK-91-Ayagama	Ayagama	LK-91	Ratnapura	8	16	31506	25.391988827524916	50.78397765504983
LK-91-Elapatha	Elapatha	LK-91	Ratnapura	6	10	36867	16.274717226788184	27.12452871131364
LK-91-Embilipitiya	Embilipitiya	LK-91	Ratnapura	14	19	159438	8.780842710018941	11.916857963597135
LK-91-Godakawela	Godakawela	LK-91	Ratnapura	6	10	81754	7.339090442057881	12.231817403429801
LK-91-Kahawaththa	Kahawatta	LK-91	Ratnapura	9	14	42896	20.980977247295783	32.637075718015666
LK-91-Kalawana	Kalawana	LK-91	Ratnapura	7	11	50753	13.792288140602528	21.673595649518255
LK-91-Kuruwita	Kuruvita	LK-91	Ratnapura	16	17	97966	16.332196884633444	17.352959189923034
LK-91-Nivithigala	Nivithigala	LK-91	Ratnapura	14	21	59442	23.55237037784731	35.32855556677097
LK-91-Pelmadulla	Pelmadulla	LK-91	Ratnapura	14	24	93818	14.92250953974717	25.58144492528086
LK-91-Ratnapura-Mc	Rathnapura MC	LK-91	Ratnapura	42	34	42633	98.51523467736261	79.75042807215068
LK-91-Ratnapura	Ratnapura PS	LK-91	Ratnapura	30	23	78533	38.20050169992233	29.287051303273785
LK-92-Dehiovita	Dehiovita	LK-92	Kegalle	15	22	84967	17.653912695517082	25.89240528675839
