MOH Area	Cases reported	
	Week 24	Week 25
Minuwangoda	44	66
Negombo	53	55
Pugoda(Dompe)	40	41
Ragama	23	33
Seeduwa	97	103
Wattala	77	117
Kalutara District		
Bandaragama	75	75
Bulathsinhala	12	17
Dodangoda PS	7	12
Horana	49	51
Ingiriya	12	34
Madurawala	24	16
Mathugama	15	10
Millaniya	12	13
Panadura	114	128
Wadduwa	32	17
NIHS		
Kalutara 28 37		
Payagala 23 21		
SOUTHERN PROVINCE		
Matara District		
Akuressa	36	25
Athuraliya	23	12
Devinuwara	26	14
Dickwella	12	18
Hakmana	8	11
Kamburupitiya	23	13
Malimbada	15	17
Matara MC	146	147
Matara PS	18	24
Morawaka	22	16
Mulatiyana	13	11
Weligama	67	42
Welipitiya	17	16
Galle District		
Akmeemana 9 10		
