Cases reported MOH Area Week 24 Week 25		
		
WESTERN PROVINCE		
Colombo District		
Battaramulla	54	54
Boralesgamuwa	56	57
Dehiwala	55	66
Egodauyana	34	33
Gothatuwa	86	83
Hanwella	34	63
Homagama	103	78
Kaduwela	108	119
Kahathuduwa	35	38
Kesbewa	20	23
Kolonnawa	12	15
Maharagama	200	192
Moratuwa	52	44
Nugegoda	40	48
Padukka	23	44
Piliyandala	65	85
Pitakotte	26	27
Rathmalana	47	29
CMC		
D1-CMC	20	25
D2A-CMC	15	25
D2B-CMC	12	36
D3-CMC	37	32
D4-CMC	41	44
D5-CMC	26	30
Gampaha District		
Aththanagalla	33	44
Biyagama	236	244
Divulapitiya	20	16
Gampaha	36	48
Ja-Ela	81	108
Katana	49	46
Kelaniya	131	193
Mahara	90	111
Meerigama	31	32
